Order,TapeID_N1,readDate_N1,arrayCode_N1,ROX,FAM,VIC,n_VIC,n_FAM,96well,384RowIndex,384ColIndex,Q,Sample,n_FAM CALL,CALL,TapeID_N3,readDate_N3,arrayCode_N3,ROX_N3,FAM_N3,VIC_N3,n_VIC_N3,n_FAM_N3,n_FAM CALL_N3,CALL_N3,384well,CONCORD
140,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2066,2679,169,0.081800581,1.296708616,,M,9,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2330,3125,117,0.050214592,1.341201717,NEG,VOID,M9,TRUE
141,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2369,2324,5572,2.352047277,0.981004643,,N,9,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2339,2418,5760,2.462590851,1.033775118,NEG,NOT DETECTED,N9,TRUE
142,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2340,2944,210,0.08974359,1.258119658,,O,9,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2426,3198,123,0.050700742,1.318219291,NEG,VOID,O9,TRUE
143,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2479,2473,6003,2.421540944,0.997579669,,P,9,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2446,2461,5988,2.448078496,1.006132461,NEG,NOT DETECTED,P9,TRUE
144,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3262,3115,7630,2.339055794,0.954935622,,A,10,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,3102,2943,7477,2.4103804,0.948742747,NEG,NOT DETECTED,A10,TRUE
145,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3281,4079,119,0.03626943,1.243218531,,B,10,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2920,3775,81,0.027739726,1.292808219,NEG,VOID,B10,TRUE
146,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3025,3275,7261,2.400330579,1.082644628,,C,10,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2751,2857,6749,2.453289713,1.038531443,NEG,NOT DETECTED,C10,TRUE
147,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2902,3660,154,0.05306685,1.261199173,,D,10,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2645,3491,20,0.007561437,1.319848771,NEG,VOID,D10,TRUE
148,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2262,2218,5841,2.582228117,0.980548187,,E,10,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2945,2745,7798,2.647877759,0.932088285,NEG,NOT DETECTED,E10,TRUE
149,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2367,3047,157,0.066328686,1.287283481,,F,10,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2471,3223,94,0.038041279,1.304330231,NEG,VOID,F10,TRUE
